State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
ODISHA,SAKHIGOPAL,COCONUT,7,7,35,10-09-2025
ANDHRA PRADESH,KURNOOL,ONION,201,"1,200","1,209",10-09-2025
HARYANA,INDRI,PADDY-BASMATI1509,"1,600","3,200","3,410",10-09-2025
RAJASTHAN,KOTA,WHEAT,"2,241","2,610","2,671",10-09-2025
RAJASTHAN,UDAIPUR F AND V,COCONUT,15,15,25,10-09-2025
ANDHRA PRADESH,ANANTHAPURAMU,MOUSAMBI,300,"1,000","1,650",10-09-2025
RAJASTHAN,KOTA,GARLIC,"4,650","7,425","8,050",10-09-2025
GUJARAT,JASDAN,COTTON-LOOSE,"6,120","6,230","6,900",10-09-2025
MAHARASHTRA,RAHURI,ONION RED,250,950,"1,385",10-09-2025
RAJASTHAN,BARAN,MUSTARD,"6,455","6,588","6,999",10-09-2025
TAMIL NADU,GINGEE,PADDY(75 KG),"1,492","2,359","4,167",10-09-2025
ODISHA,SAKHIGOPAL,COCONUT,7,7,35,10-09-2025
ANDHRA PRADESH,KURNOOL,ONION,201,"1,200","1,209",10-09-2025
HARYANA,INDRI,PADDY-BASMATI1509,"1,600","3,200","3,410",10-09-2025
RAJASTHAN,KOTA,WHEAT,"2,241","2,610","2,671",10-09-2025
RAJASTHAN,UDAIPUR F AND V,COCONUT,15,15,25,10-09-2025
ANDHRA PRADESH,ANANTHAPURAMU,MOUSAMBI,300,"1,000","1,650",10-09-2025
RAJASTHAN,KOTA,GARLIC,"4,650","7,425","8,050",10-09-2025
GUJARAT,JASDAN,COTTON-LOOSE,"6,120","6,230","6,900",10-09-2025
MAHARASHTRA,RAHURI,ONION RED,250,950,"1,385",10-09-2025
RAJASTHAN,BARAN,MUSTARD,"6,455","6,588","6,999",10-09-2025
TAMIL NADU,GINGEE,PADDY(75 KG),"1,492","2,359","4,167",10-09-2025
RAJASTHAN,JAIPUR F AND V MUHANA,TOMATO,"1,700","2,500","2,500",10-09-2025
TAMIL NADU,POLUR,PADDY RNR (TN),"1,772","2,346","2,614",10-09-2025
HARYANA,TARAORI,PADDY-BASMATI1509,"2,450","2,875","3,251",10-09-2025
ODISHA,KENDRAPARA,COCONUT,14,14,14,10-09-2025
UTTAR PRADESH,BAHRAICH,PADDY,"2,200","2,200","2,900",10-09-2025
CHHATTISGARH,BHATAPARA,PADDY COMMON,"1,840","2,000","2,380",10-09-2025
TAMIL NADU,CUDDALORE OT,COCONUT,10,10,10,10-09-2025
MAHARASHTRA,AMRAVATI,TUR/ARHAR,"6,000","6,244","6,639",10-09-2025
TAMIL NADU,CHETPET,PADDY(75 KG),"1,280","2,582","2,808",10-09-2025
RAJASTHAN,JAIPUR F AND V MUHANA,POTATO,800,"1,300","1,300",10-09-2025
ANDHRA PRADESH,YEMMIGANUR,GROUND NUT,"3,010","5,920","7,490",10-09-2025
RAJASTHAN,SIKAR,ONION,400,600,"1,300",10-09-2025
MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-DHAMNOD,MAIZE,"1,450","1,561","1,653",10-09-2025
MADHYA PRADESH,CHHINDWARA,WHEAT,"2,650","2,705","2,799",10-09-2025
RAJASTHAN,NIMBAHERA,WHEAT,"2,646","2,730","2,941",10-09-2025
MADHYA PRADESH,KHANDWA,WHEAT,"2,400","2,690","2,891",10-09-2025
MADHYA PRADESH,VIDISHA,WHEAT,"2,536","2,741","3,320",10-09-2025
RAJASTHAN,JODHPUR F AND V,TOMATO,"1,200","1,500","4,000",10-09-2025
HARYANA,ADAMPUR,GUAR SEEDS,"3,200","4,700","4,860",10-09-2025
MADHYA PRADESH,BIAORA,WHEAT,"2,539","2,610","2,673",10-09-2025
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA KARPURA,"2,000","2,200","2,200",10-09-2025
MADHYA PRADESH,ASHOKNAGAR,WHEAT,"2,150","2,600","3,300",10-09-2025
TAMIL NADU,AMMOOR,PADDY(75 KG),"1,522","1,812","2,668",10-09-2025
MADHYA PRADESH,TIKAMGARH,WHEAT,"2,570","2,600","2,889",10-09-2025
ANDHRA PRADESH,MADANAPALLE,TOMATO,"1,000","1,000","2,000",10-09-2025
HARYANA,GURGAON,POTATO,955,"1,255","1,522",10-09-2025
HARYANA,CHEEKA,PADDY-BASMATI1509,"2,700","3,200","3,260",10-09-2025
RAJASTHAN,ALWAR,WHEAT,"2,500","2,600","2,615",10-09-2025
RAJASTHAN,JAIPUR F AND V MUHANA,APPLE,"4,000","15,000","15,000",10-09-2025
RAJASTHAN,SIKAR,POTATO,900,"1,000","1,100",10-09-2025
RAJASTHAN,JAIPUR F AND V MUHANA,ONION,"1,000","1,800","1,800",10-09-2025
HARYANA,LADWA,PADDY-BASMATI1509,"2,395","3,175","3,375",10-09-2025
RAJASTHAN,ALWAR,MUSTARD,"6,150","6,600","7,175",10-09-2025
RAJASTHAN,JAIPUR F AND V MUHANA,BANANA,"1,200","2,800","2,800",10-09-2025
RAJASTHAN,JAIPUR F AND V MUHANA,CUCUMBER,"2,500","3,200","3,200",10-09-2025
ANDHRA PRADESH,ADONI,GROUND NUT,"2,769","6,470","6,990",10-09-2025
MADHYA PRADESH,HARDA,CHANA (BENGAL GRAM)-DESI,"5,050","6,099","6,351",10-09-2025
ANDHRA PRADESH,ADONI,COTTON,"3,962","7,442","7,819",10-09-2025
RAJASTHAN,ALWAR,BAJRA,"1,500","1,900","2,300",10-09-2025
HARYANA,KOSLI APMC,BAJRA,"1,900","2,010","2,090",10-09-2025
MADHYA PRADESH,INDORE,CHANA BENGAL GRAM-DOLLAR,"7,400","9,475","10,000",10-09-2025
